model,draw,band,model_capacity,n_layers,frequency_rank,circuit_convergence_layer,circuit_frac_convergence,circuit_frac_converged,circuit_final_prob,circuit_mean_attn_frac,circuit_mean_mlp_frac,circuit_edges
pythia-70m,draw_1,low,70,6,1.0,4.662222222222222,0.777037037037037,1.0,0.10048146545886993,0.45199882384211304,0.5480011761487008,380
pythia-70m,draw_1,medium,70,6,2.0,4.5377777777777775,0.7562962962962962,1.0,0.16941383481025696,0.47356476931008523,0.5264352306808392,395
pythia-70m,draw_1,high,70,6,3.0,4.475555555555555,0.7459259259259259,1.0,0.21505208313465118,0.4887501724557497,0.5112498275358445,414
pythia-70m,draw_1,very_high,70,6,4.0,4.315555555555555,0.7192592592592592,1.0,0.26192763447761536,0.537411317247053,0.46258868274493753,424
pythia-70m,draw_1,control,70,6,,4.342222222222222,0.7237037037037037,1.0,0.2360408753156662,0.5335024803298042,0.4664975196620736,435
pythia-70m,draw_2,low,70,6,1.0,4.746666666666667,0.7911111111111112,1.0,0.13357651233673096,0.45339972886099456,0.5466002711287098,396
pythia-70m,draw_2,medium,70,6,2.0,4.666666666666667,0.7777777777777778,1.0,0.16728168725967407,0.47822241939340954,0.5217775805977747,392
pythia-70m,draw_2,high,70,6,3.0,4.48,0.7466666666666667,1.0,0.20100098848342896,0.49499993415269355,0.5050000658384313,405
pythia-70m,draw_2,very_high,70,6,4.0,4.395555555555555,0.7325925925925926,1.0,0.2828298509120941,0.525738016862311,0.4742619831298444,417
pythia-70m,draw_2,control,70,6,,4.3822222222222225,0.7303703703703704,1.0,0.24140995740890503,0.5225241183811311,0.47747588161027715,410
pythia-70m,draw_3,low,70,6,1.0,4.764444444444444,0.794074074074074,1.0,0.0973282977938652,0.43746663374577377,0.5625333662451463,391
pythia-70m,draw_3,medium,70,6,2.0,4.68,0.7799999999999999,1.0,0.1532532125711441,0.45754249679734654,0.5424575031930999,406
pythia-70m,draw_3,high,70,6,3.0,4.524444444444445,0.7540740740740741,1.0,0.20309031009674072,0.4990190934123184,0.5009809065793017,431
pythia-70m,draw_3,very_high,70,6,4.0,4.328888888888889,0.7214814814814815,1.0,0.3005301356315613,0.5364280057211362,0.46357199427052714,417
pythia-70m,draw_3,control,70,6,,4.315555555555555,0.7192592592592592,1.0,0.27923455834388733,0.5184665844105466,0.4815334155816983,426
pythia-160m,draw_1,low,160,12,1.0,9.551111111111112,0.795925925925926,1.0,0.3933921158313751,0.40019773316906154,0.5998022668186632,1463
pythia-160m,draw_1,medium,160,12,2.0,9.328888888888889,0.7774074074074074,1.0,0.4569638669490814,0.39946882460001265,0.600531175387289,1446
